203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-07-01-04:53 ; 2023-07-01-09:53 ; 2518.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-09-12-22:30 ; 2023-09-13-00:55 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-09-15-18:55 ; 2023-09-15-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-09-15-23:41 ; 2023-09-16-02:06 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-09-18-18:55 ; 2023-09-18-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-09-18-22:39 ; 2023-09-19-01:04 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-09-21-18:55 ; 2023-09-21-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-09-21-22:26 ; 2023-09-22-00:51 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-09-24-18:55 ; 2023-09-24-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-09-24-22:41 ; 2023-09-25-01:06 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-09-27-18:55 ; 2023-09-27-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-09-27-23:21 ; 2023-09-28-01:46 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-09-30-18:55 ; 2023-09-30-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-09-30-22:22 ; 2023-10-01-00:47 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-03-18:55 ; 2023-10-03-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-03-22:53 ; 2023-10-04-01:18 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-06-18:55 ; 2023-10-06-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-06-23:37 ; 2023-10-07-02:02 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-09-18:55 ; 2023-10-09-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-09-22:36 ; 2023-10-10-01:01 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-12-18:55 ; 2023-10-12-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-12-22:45 ; 2023-10-13-01:10 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-15-18:55 ; 2023-10-15-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-15-23:08 ; 2023-10-16-01:33 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-18-18:55 ; 2023-10-18-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-18-22:45 ; 2023-10-19-01:10 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-21-18:55 ; 2023-10-21-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-21-22:33 ; 2023-10-22-00:58 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-24-18:55 ; 2023-10-24-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-24-21:56 ; 2023-10-25-00:21 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-27-18:55 ; 2023-10-27-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-27-21:52 ; 2023-10-28-00:17 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-10-30-18:55 ; 2023-10-30-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-10-30-23:37 ; 2023-10-31-02:02 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-02-18:55 ; 2023-11-02-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-03-00:18 ; 2023-11-03-02:43 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-05-18:55 ; 2023-11-05-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-05-23:54 ; 2023-11-06-02:19 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-08-18:55 ; 2023-11-08-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-08-22:58 ; 2023-11-09-01:23 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-11-18:55 ; 2023-11-11-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-11-21:50 ; 2023-11-12-00:15 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-14-18:55 ; 2023-11-14-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-14-22:05 ; 2023-11-15-00:30 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-17-18:55 ; 2023-11-17-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-18-00:09 ; 2023-11-18-02:34 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-20-18:55 ; 2023-11-20-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-20-22:25 ; 2023-11-21-00:50 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-23-18:55 ; 2023-11-23-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-23-22:32 ; 2023-11-24-00:57 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-26-18:55 ; 2023-11-26-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-26-22:05 ; 2023-11-27-00:30 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-11-29-18:55 ; 2023-11-29-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-11-29-23:54 ; 2023-11-30-02:19 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-02-18:55 ; 2023-12-02-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-03-00:04 ; 2023-12-03-02:29 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-05-18:55 ; 2023-12-05-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-06-00:06 ; 2023-12-06-02:31 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-08-18:55 ; 2023-12-08-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-08-23:51 ; 2023-12-09-02:16 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-11-18:55 ; 2023-12-11-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-11-23:47 ; 2023-12-12-02:12 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-14-18:55 ; 2023-12-14-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-14-23:07 ; 2023-12-15-01:32 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-17-18:55 ; 2023-12-17-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-17-22:32 ; 2023-12-18-00:57 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-20-18:55 ; 2023-12-20-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-20-22:06 ; 2023-12-21-00:31 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-23-18:55 ; 2023-12-23-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-23-22:56 ; 2023-12-24-01:21 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-26-18:55 ; 2023-12-26-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-26-21:57 ; 2023-12-27-00:22 ; 1218.0
79Н ; Stantsiya Lipovka ; Stantsiya Yedrovo ; 2023-12-29-18:55 ; 2023-12-29-21:20 ; 1218.0
80К ; Stantsiya Yedrovo ; Stantsiya Lipovka ; 2023-12-30-00:08 ; 2023-12-30-02:33 ; 1218.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-01-11:30 ; 2023-05-01-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-01-17:18 ; 2023-05-01-21:10 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-04-11:30 ; 2023-05-04-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-04-18:10 ; 2023-05-04-22:02 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-07-11:30 ; 2023-05-07-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-07-17:01 ; 2023-05-07-20:53 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-10-11:30 ; 2023-05-10-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-10-16:06 ; 2023-05-10-19:58 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-13-11:30 ; 2023-05-13-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-13-18:03 ; 2023-05-13-21:55 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-16-11:30 ; 2023-05-16-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-16-17:28 ; 2023-05-16-21:20 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-19-11:30 ; 2023-05-19-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-19-17:44 ; 2023-05-19-21:36 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-22-11:30 ; 2023-05-22-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-22-18:13 ; 2023-05-22-22:05 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-25-11:30 ; 2023-05-25-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-25-15:58 ; 2023-05-25-19:50 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-28-11:30 ; 2023-05-28-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-28-16:41 ; 2023-05-28-20:33 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-05-31-11:30 ; 2023-05-31-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-05-31-17:04 ; 2023-05-31-20:56 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-03-11:30 ; 2023-06-03-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-03-16:16 ; 2023-06-03-20:08 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-06-11:30 ; 2023-06-06-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-06-18:06 ; 2023-06-06-21:58 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-09-11:30 ; 2023-06-09-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-09-17:32 ; 2023-06-09-21:24 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-12-11:30 ; 2023-06-12-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-12-16:31 ; 2023-06-12-20:23 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-15-11:30 ; 2023-06-15-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-15-17:17 ; 2023-06-15-21:09 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-18-11:30 ; 2023-06-18-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-18-17:35 ; 2023-06-18-21:27 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-21-11:30 ; 2023-06-21-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-21-16:01 ; 2023-06-21-19:53 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-24-11:30 ; 2023-06-24-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-24-17:12 ; 2023-06-24-21:04 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-27-11:30 ; 2023-06-27-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-27-16:48 ; 2023-06-27-20:40 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-06-30-11:30 ; 2023-06-30-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-06-30-16:12 ; 2023-06-30-20:04 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-03-11:30 ; 2023-07-03-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-03-16:51 ; 2023-07-03-20:43 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-06-11:30 ; 2023-07-06-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-06-17:34 ; 2023-07-06-21:26 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-09-11:30 ; 2023-07-09-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-09-16:31 ; 2023-07-09-20:23 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-12-11:30 ; 2023-07-12-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-12-16:45 ; 2023-07-12-20:37 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-15-11:30 ; 2023-07-15-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-15-16:58 ; 2023-07-15-20:50 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-18-11:30 ; 2023-07-18-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-18-17:41 ; 2023-07-18-21:33 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-21-11:30 ; 2023-07-21-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-21-18:14 ; 2023-07-21-22:06 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-24-11:30 ; 2023-07-24-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-24-18:17 ; 2023-07-24-22:09 ; 1952.0
289Р ; Stantsiya Podozero ; Stantsiya Ryazhsk Pervyy ; 2023-07-27-11:30 ; 2023-07-27-15:23 ; 1952.0
290Г ; Stantsiya Ryazhsk Pervyy ; Stantsiya Podozero ; 2023-07-27-17:04 ; 2023-07-27-20:56 ; 1952.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-01-11:42 ; 2023-07-01-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-01-20:43 ; 2023-07-02-03:44 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-04-11:42 ; 2023-07-04-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-04-19:19 ; 2023-07-05-02:20 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-07-11:42 ; 2023-07-07-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-07-20:39 ; 2023-07-08-03:40 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-10-11:42 ; 2023-07-10-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-10-19:54 ; 2023-07-11-02:55 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-13-11:42 ; 2023-07-13-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-13-19:34 ; 2023-07-14-02:35 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-16-11:42 ; 2023-07-16-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-16-19:19 ; 2023-07-17-02:20 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-19-11:42 ; 2023-07-19-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-19-20:54 ; 2023-07-20-03:55 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-22-11:42 ; 2023-07-22-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-22-20:37 ; 2023-07-23-03:38 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-25-11:42 ; 2023-07-25-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-25-21:14 ; 2023-07-26-04:15 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-28-11:42 ; 2023-07-28-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-28-20:39 ; 2023-07-29-03:40 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-07-31-11:42 ; 2023-07-31-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-07-31-19:12 ; 2023-08-01-02:13 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-03-11:42 ; 2023-08-03-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-03-20:16 ; 2023-08-04-03:17 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-06-11:42 ; 2023-08-06-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-06-20:07 ; 2023-08-07-03:08 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-09-11:42 ; 2023-08-09-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-09-20:00 ; 2023-08-10-03:01 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-12-11:42 ; 2023-08-12-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-12-21:37 ; 2023-08-13-04:38 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-15-11:42 ; 2023-08-15-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-15-20:38 ; 2023-08-16-03:39 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-18-11:42 ; 2023-08-18-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-18-20:14 ; 2023-08-19-03:15 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-21-11:42 ; 2023-08-21-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-21-20:01 ; 2023-08-22-03:02 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-24-11:42 ; 2023-08-24-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-24-20:40 ; 2023-08-25-03:41 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-27-11:42 ; 2023-08-27-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-27-21:06 ; 2023-08-28-04:07 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-08-30-11:42 ; 2023-08-30-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-08-30-20:38 ; 2023-08-31-03:39 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-02-11:42 ; 2023-09-02-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-02-19:39 ; 2023-09-03-02:40 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-05-11:42 ; 2023-09-05-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-05-21:23 ; 2023-09-06-04:24 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-08-11:42 ; 2023-09-08-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-08-20:51 ; 2023-09-09-03:52 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-11-11:42 ; 2023-09-11-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-11-19:34 ; 2023-09-12-02:35 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-14-11:42 ; 2023-09-14-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-14-20:41 ; 2023-09-15-03:42 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-17-11:42 ; 2023-09-17-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-17-20:15 ; 2023-09-18-03:16 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-20-11:42 ; 2023-09-20-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-20-21:41 ; 2023-09-21-04:42 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-23-11:42 ; 2023-09-23-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-23-19:50 ; 2023-09-24-02:51 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-26-11:42 ; 2023-09-26-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-26-19:19 ; 2023-09-27-02:20 ; 3028.0
643Ш ; Stantsiya Shishkovo ; Stantsiya Goytkh ; 2023-09-29-11:42 ; 2023-09-29-18:42 ; 3028.0
644Ш ; Stantsiya Goytkh ; Stantsiya Shishkovo ; 2023-09-29-20:07 ; 2023-09-30-03:08 ; 3028.0
447А ; Stantsiya Burannaya ; Stantsiya Tyoply Stan ; 2023-07-29-04:33 ; 2023-07-29-09:36 ; 2182.0
448К ; Stantsiya Tyoply Stan ; Stantsiya Burannaya ; 2023-07-29-10:50 ; 2023-07-29-15:53 ; 2182.0
447А ; Stantsiya Burannaya ; Stantsiya Tyoply Stan ; 2023-08-01-04:33 ; 2023-08-01-09:36 ; 2182.0
448К ; Stantsiya Tyoply Stan ; Stantsiya Burannaya ; 2023-08-01-11:09 ; 2023-08-01-16:12 ; 2182.0
447А ; Stantsiya Burannaya ; Stantsiya Tyoply Stan ; 2023-08-04-04:33 ; 2023-08-04-09:36 ; 2182.0
448К ; Stantsiya Tyoply Stan ; Stantsiya Burannaya ; 2023-08-04-11:01 ; 2023-08-04-16:04 ; 2182.0
447А ; Stantsiya Burannaya ; Stantsiya Tyoply Stan ; 2023-08-07-04:33 ; 2023-08-07-09:36 ; 2182.0
448К ; Stantsiya Tyoply Stan ; Stantsiya Burannaya ; 2023-08-07-10:17 ; 2023-08-07-15:20 ; 2182.0
447А ; Stantsiya Burannaya ; Stantsiya Tyoply Stan ; 2023-08-10-04:33 ; 2023-08-10-09:36 ; 2182.0
448К ; Stantsiya Tyoply Stan ; Stantsiya Burannaya ; 2023-08-10-11:28 ; 2023-08-10-16:31 ; 2182.0
447А ; Stantsiya Burannaya ; Stantsiya Tyoply Stan ; 2023-08-13-04:33 ; 2023-08-13-09:36 ; 2182.0
